time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1663963200,274.79,271.63,271.72,4468.54,1221389.32,273.2,direct,
1663966800,275.15,272.83,273.2,3577.63,979205.71,275,direct,
1663970400,276.56,275,275,3056.88,843146.28,276.44,direct,
1663974000,276.83,275.28,276.48,3917.09,1083603.43,276.63,multiply,BTC
1663977600,277.13,275.44,276.63,3048.94,842803.17,276.4,direct,
1663981200,277.22,276.17,276.4,1937.42,536458.97,276.9,direct,
1663984800,279.02,276.82,276.9,3235.53,899408.6,278.27,direct,
1663988400,280.57,278.08,278.16,5780.35,1611824.1,278.85,multiply,BTC
1663992000,281.76,278.8,278.8,8291.42,2325398.06,281.62,direct,
1663995600,285.03,281.62,281.62,15072,4269243.27,284.3,direct,
1663999200,284.83,282.92,284.3,5970.73,1694417.86,283.52,direct,
1664002800,283.79,279.29,283.52,9937.87,2794251.77,280.81,direct,
1664006400,283.26,280.75,280.81,3803.41,1073253.25,282.56,direct,
1664010000,282.96,280.61,282.56,2762.66,778186.93,282.18,direct,
1664013600,282.3,280.36,282.18,2978.3,838270.04,280.73,direct,
1664017200,281.25,279.41,280.73,3096.7,868600.08,280.29,direct,
1664020800,281.28,279.86,280.29,2612.63,733396.84,280.9,direct,
1664024400,281.82,280.07,280.9,2706.68,760136.58,280.91,direct,
1664028000,282.92,279.4,280.91,6373.7,1792282.03,280.35,direct,
1664031600,280.5,279.35,280.35,1578.7,441830.94,279.78,direct,
1664035200,280.09,277.95,279.78,4435.5,1236951.34,278.09,direct,
1664038800,278.66,276.46,278.09,3196.45,886735,276.79,direct,
1664042400,278.25,275.85,276.79,2645.6,732183.42,278.18,direct,
1664046000,278.46,277.69,278.18,1515.93,421530.55,278.39,direct,
1664049600,278.39,276.92,278.39,1619.62,449512.14,277.97,direct,
1664053200,277.97,275.18,277.97,2755.2,761368.68,276.19,direct,
1664056800,276.93,275.31,276.19,1690.08,466664.44,276.25,direct,
1664060400,276.47,274.4,276.25,3505.99,964701.53,274.54,direct,
1664064000,275.19,273.05,274.54,3932.08,1078497.99,274.96,direct,
1664067600,276,274.77,274.96,1206.7,332451.76,275.52,direct,
1664071200,276.06,274.64,275.52,1144.21,315279.9,275.75,direct,
