time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1670965200,1321.48,1316.27,1318.08,13001.54,17149309.34,1319.66,direct,
1670968800,1320.67,1314.84,1319.66,9766.45,12871956.8,1319.28,direct,
1670972400,1322.79,1318.39,1319.28,11534.89,15230830.58,1320.43,direct,
1670976000,1326.27,1317.41,1320.43,21712.98,28705792.91,1325.07,direct,
1670979600,1326.5,1319.97,1325.07,10280.08,13588893.68,1320.99,direct,
1670983200,1321.29,1317.41,1320.99,14729.85,19426576.69,1319.42,direct,
1670986800,1324.19,1319.29,1319.42,10998.73,14534675.25,1319.73,direct,
1670990400,1320.43,1318.06,1319.73,7719.84,10183525.42,1318.68,direct,
1670994000,1320.74,1315.97,1318.68,9744.18,12847057.82,1320.48,direct,
1670997600,1322.59,1319.08,1320.48,8437.76,11143211.27,1321.96,direct,
1671001200,1324.71,1321.71,1321.96,9445.65,12496236.21,1322.61,direct,
1671004800,1325.84,1321.15,1322.61,10575.37,13994019.74,1323.82,direct,
1671008400,1324.3,1319.39,1323.82,8877.82,11734186.83,1321.65,direct,
1671012000,1324.07,1320.45,1321.65,8554.79,11313308.72,1323.24,direct,
1671015600,1328.13,1323.01,1323.24,16706.69,22150724.75,1326.31,direct,
1671019200,1332.87,1325.52,1326.31,23034.67,30632345.23,1332.54,direct,
1671022800,1333.36,1325.17,1332.54,22419.78,29795937.76,1327.89,direct,
1671026400,1341.99,1326.85,1327.89,31549.09,42113245.42,1340.95,direct,
1671030000,1343.99,1335.59,1340.95,24416.93,32707200.58,1338.09,direct,
1671033600,1342.86,1334.82,1338.09,29119.7,38968117.63,1336.22,direct,
1671037200,1338.56,1333.59,1336.22,21512.2,28747839.54,1334.95,direct,
1671040800,1350.33,1325.12,1334.95,81716.86,109424002.7,1329.39,direct,
1671044400,1333.05,1303.92,1329.39,155415.33,204265076.2,1307.36,direct,
1671048000,1316.99,1302.52,1307.36,85330.93,111704494.7,1309.26,direct,
1671051600,1312.59,1308.08,1309.26,32319.33,42366531.39,1310.78,direct,
1671055200,1314.52,1308.65,1310.78,27047.17,35461227.99,1311.74,direct,
1671058800,1311.79,1306.87,1311.74,29498.93,38596048.13,1307.5,direct,
1671062400,1311.34,1304.18,1307.5,29800.11,38982228.85,1305.07,direct,
1671066000,1308.65,1282.24,1305.07,53934.23,69813388.52,1287.23,direct,
1671069600,1292.11,1282.5,1287.23,31571.45,40660797.92,1291.61,direct,
1671073200,1294.01,1290.86,1291.61,15694.47,20283533.28,1292.46,direct,
1671076800,1292.47,1288.9,1292.46,14479.25,18687068.46,1291.9,direct,
1671080400,1292.85,1290.23,1291.9,14937.57,19292711.8,1290.74,direct,
1671084000,1292.31,1289.4,1290.74,16831.19,21729327.52,1289.7,direct,
1671087600,1291.24,1286.98,1289.7,16825.87,21697795.84,1287.53,direct,
1671091200,1289.28,1283.93,1287.53,22586.92,29067316.54,1284.05,direct,
1671094800,1288.52,1283.03,1284.05,19558.8,25153857.99,1288.24,direct,
1671098400,1288.72,1285.04,1288.24,16337.09,21026020.45,1287.09,direct,
1671102000,1291.32,1285.13,1287.09,21908.61,28230669.09,1291.04,direct,
1671105600,1291.18,1285.55,1291.04,17443.63,22477301,1286.59,direct,
1671109200,1286.84,1272.39,1286.59,51109.94,65291288.01,1275.69,direct,
1671112800,1277.84,1265.06,1275.69,33783.57,43024214.62,1269.95,direct,
1671116400,1274.33,1266.52,1269.95,39679.08,50432259.96,1269.63,direct,
1671120000,1271.58,1266.25,1269.63,32177.39,40850527.57,1270.29,direct,
1671123600,1273.41,1269.09,1270.29,19392.07,24657755.55,1269.98,direct,
1671127200,1271.63,1265.59,1269.98,30152.52,38262706.06,1270.42,direct,
1671130800,1275.67,1270.08,1270.42,23400.86,29797457.99,1275.15,direct,
1671134400,1275.68,1271.4,1275.15,15693.06,19991643.48,1271.6,direct,
1671138000,1272.64,1261.7,1271.6,25433.76,32213159.01,1264.89,direct,
1671141600,1265.28,1260.81,1264.89,18849.34,23802184.21,1263.22,direct,
1671145200,1266.89,1260.13,1263.22,17971.06,22711742.95,1266.59,direct,
1671148800,1273.54,1265.95,1266.59,20802.84,26417355.84,1273.28,direct,
1671152400,1273.56,1267.93,1273.28,15233.04,19357818.64,1268.04,direct,
1671156000,1272.74,1267.95,1268.04,13171.64,16737511.29,1270.06,direct,
1671159600,1272.32,1269.84,1270.06,9649.48,12265673.99,1271.91,direct,
1671163200,1272.01,1269.74,1271.91,6552.19,8326575.42,1269.77,direct,
1671166800,1271.28,1268.07,1269.77,8760.63,11122694.81,1271.19,direct,
1671170400,1271.42,1267.64,1271.19,8537.69,10837963.5,1271.16,direct,
1671174000,1279.37,1271.12,1271.16,21894.12,27945298.89,1277.75,direct,
1671177600,1278.91,1251.26,1277.75,43231.94,54486794.5,1251.38,direct,
1671181200,1251.57,1210.38,1251.38,124788.9,151785573,1214.06,direct,
1671184800,1214.13,1208.1,1214.06,43689.85,52906920.85,1209.95,direct,
1671188400,1214.5,1208.76,1209.95,25798.75,31272140.85,1213.35,direct,
1671192000,1213.77,1210.56,1213.35,28213.22,34201176.55,1213.67,direct,
1671195600,1213.94,1207.48,1213.67,35217.35,42614809.49,1208.26,direct,
1671199200,1217.74,1200.88,1208.26,69423.27,84115206.43,1214.95,direct,
1671202800,1214.96,1200.1,1214.95,54806.78,66126283.61,1204.05,direct,
1671206400,1204.52,1186.22,1204.05,59701.98,71245018.39,1189.1,direct,
1671210000,1196.41,1187.41,1189.1,32757.8,39086903.72,1193.97,direct,
1671213600,1198.82,1192.88,1193.97,27615.06,33025196.95,1196.04,direct,
1671217200,1203.41,1194.2,1196.04,42918.09,51498862.38,1202.62,direct,
1671220800,1209.42,1199.96,1202.62,30038.67,36204072.32,1204.91,direct,
1671224400,1205.11,1193.91,1204.91,36370.41,43606597.13,1195.16,direct,
1671228000,1197.24,1178.21,1195.16,44501.38,52809405.62,1179.62,direct,
1671231600,1180.27,1158.18,1179.62,74679.68,87052339.9,1167.85,direct,
1671235200,1174.65,1165.89,1167.85,24577.22,28795895.38,1173.07,direct,
1671238800,1175.52,1168.57,1173.07,19623.29,22999640.91,1169.78,direct,
1671242400,1174.31,1162.32,1169.78,29018.3,33893257.69,1173.77,direct,
1671246000,1178.69,1171.77,1173.77,17340.71,20375662.89,1175.55,direct,
1671249600,1181.6,1174.01,1175.55,18575.62,21878283.8,1180.37,direct,
1671253200,1180.88,1177.06,1180.37,10307.07,12150060.67,1177.43,direct,
1671256800,1185.18,1174.13,1177.43,20290.5,23930840.4,1180.97,direct,
1671260400,1183.96,1178.66,1180.97,12051.1,14233830.85,1183.82,direct,
1671264000,1184.79,1179.77,1183.82,11284.34,13337879.48,1180.79,direct,
1671267600,1182.36,1175.49,1180.79,12877.35,15173431.84,1177.41,direct,
1671271200,1186.95,1174.62,1177.41,21351.59,25243994.44,1185.36,direct,
1671274800,1188.71,1178.56,1185.36,19681.73,23284731.38,1180.41,direct,
1671278400,1182.94,1178.08,1180.41,12819.77,15130716.79,1179.62,direct,
1671282000,1180.56,1175.74,1179.62,14604.99,17206098.01,1177.58,direct,
1671285600,1182.83,1176.47,1177.58,10694.74,12616440.14,1177.74,direct,
1671289200,1181.67,1175.27,1177.74,21685.73,25529419.28,1180.07,direct,
1671292800,1180.2,1176.15,1180.07,10122.58,11924334.62,1178.68,direct,
1671296400,1179.41,1172.52,1178.68,19248.96,22615392.9,1174.73,direct,
1671300000,1179.39,1173.38,1174.73,12287.21,14464961.16,1177.6,direct,
1671303600,1179.82,1176.1,1177.6,7998.58,9420423.13,1176.99,direct,
1671307200,1179.17,1175.97,1176.99,7044.34,8294976.09,1177.86,direct,
1671310800,1181.53,1176.92,1177.86,11615.23,13698428.57,1178.67,direct,
1671314400,1187.2,1176.61,1178.67,14061.54,16599311.31,1185.94,direct,
1671318000,1189.53,1182.89,1185.94,23904.59,28369216.28,1187.11,direct,
1671321600,1188.56,1183.17,1187.11,11666.22,13825647.52,1185.07,direct,
1671325200,1185.07,1180.77,1185.07,10420.53,12325813.29,1182.56,direct,
1671328800,1186.6,1182.09,1182.56,7278.67,8626379.63,1186.48,direct,
1671332400,1187.7,1185.64,1186.48,5876.11,6970730.96,1187.54,direct,
1671336000,1196.43,1187.41,1187.54,21925.78,26149582.49,1191.49,direct,
1671339600,1191.99,1187.37,1191.49,11377.1,13532487.94,1187.59,direct,
1671343200,1187.64,1183.67,1187.59,9994.68,11849352.82,1185.74,direct,
1671346800,1187.66,1185.6,1185.74,7041.49,8356824.99,1187.04,direct,
1671350400,1188.36,1186.26,1187.04,7115.64,8449155.84,1187.41,direct,
1671354000,1187.73,1172.99,1187.41,20802.61,24515303.36,1178.27,direct,
1671357600,1181.97,1177.58,1178.27,10255.85,12102365.24,1180.58,direct,
1671361200,1184.12,1180.51,1180.58,7943.79,9389969.7,1182.39,direct,
1671364800,1183.88,1181.15,1182.39,6631.4,7840650.38,1181.68,direct,
1671368400,1181.72,1177.79,1181.68,6210.55,7327756.05,1178.91,direct,
1671372000,1179.67,1174.36,1178.91,9849.07,11592591.72,1175.29,direct,
1671375600,1176.14,1173.9,1175.29,8059.2,9469562.17,1174.67,direct,
1671379200,1178.62,1174.23,1174.67,7234.19,8512936.9,1177.93,direct,
1671382800,1178.54,1176.33,1177.93,5109.4,6016215.63,1178.54,direct,
1671386400,1189.37,1175.52,1178.54,27839.71,32924078.49,1179.96,direct,
1671390000,1183.69,1178.49,1179.96,13592.01,16059234.58,1183.58,direct,
1671393600,1186.43,1182.98,1183.58,10953.87,12978554.44,1184.98,direct,
1671397200,1187.08,1181.55,1184.98,11137.55,13186566.96,1182.68,direct,
1671400800,1192.57,1182.34,1182.68,13378.73,15882953.32,1187.77,direct,
1671404400,1193.49,1181.8,1187.77,19495.6,23172223.54,1183.19,direct,
1671408000,1194.37,1182.17,1183.19,20598.28,24493371.44,1189.43,direct,
1671411600,1194.49,1187.29,1189.43,13462.81,16037607.39,1190.46,direct,
1671415200,1190.65,1182.39,1190.46,14280.34,16929734.3,1184.28,direct,
1671418800,1184.81,1175.14,1184.28,23611.6,27843958.16,1179.48,direct,
1671422400,1184.49,1178.74,1179.48,11824.14,13975984.91,1182.01,direct,
1671426000,1182.75,1178.14,1182.01,11080.9,13079293.56,1179.16,direct,
1671429600,1182.69,1178.5,1179.16,11143.14,13152943.73,1182.12,direct,
1671433200,1182.71,1178.06,1182.12,12517.48,14771898.42,1179.89,direct,
1671436800,1184.11,1179.46,1179.89,10982.31,12981071.4,1183.86,direct,
1671440400,1185.75,1182.81,1183.86,11754.77,13922390.83,1184.29,direct,
1671444000,1188.02,1183.38,1184.29,12248.96,14531459.34,1186.46,direct,
1671447600,1186.85,1182.72,1186.46,9955.41,11793233.92,1183.35,direct,
1671451200,1188.09,1182.74,1183.35,13353.7,15828798.46,1186.47,direct,
1671454800,1188.14,1182.41,1186.47,15521.69,18389219.48,1183.02,direct,
1671458400,1188.37,1178.31,1183.02,30648.17,36248141.57,1185.78,direct,
1671462000,1188.04,1179.41,1185.78,22973.66,27204031.6,1179.95,direct,
